static_text,log_level,preprocessed_text
"After suspending failed, closing the same * * failed again due to the following error:",error,suspend fail close fail due follow error
Failed to resume * * since it got migrated to another thread already. Closing it as zombie before triggering a new rebalance.,info,fail resum sinc got migrat anoth thread alreadi close zombi trigger new rebal
Failed to commit * * since it got migrated to another thread already. Closing it as zombie before triggering a new rebalance.,info,fail commit sinc got migrat anoth thread alreadi close zombi trigger new rebal
Failed to commit * * due to the following error:,error,fail commit due follow error
Failed to remove suspended * * due to the following error:,error,fail remov suspend due follow error
Failed to close * * since it got migrated to another thread already. Closing it as zombie and move on.,info,fail close sinc got migrat anoth thread alreadi close zombi move
Failed while closing * * due to the following error:,error,fail close due follow error
Try to close * * unclean.,info,tri close unclean
Failed while closing * * due to the following error:,error,fail close due follow error
Deserialization error callback failed after deserialization error for record *,error,deseri error callback fail deseri error record
Failed to write offset checkpoint file to * while re-initializing *: *,error,fail write offset checkpoint file
Failed to reinitialize store *.,error,fail reiniti store
Failed to reinitialize store *.,error,fail reiniti store
* Failed to delete global state directory due to an unexpected exception,error,fail delet global state directori due unexpect except
* Deleting obsolete state directory * for task * as *ms has elapsed (cleanup delay is *ms).,info,delet obsolet state directori task ms elaps cleanup delay ms
* Deleting state directory * for task * as user calling cleanup.,info,delet state directori task user call cleanup
* Failed to get the state directory lock.,error,fail get state directori lock
* Failed to delete the state directory.,error,fail delet state directori
* Failed to release the state directory lock.,error,fail releas state directori lock
Unexpected state transition from * to *,error,unexpect state transit
State transition from * to *,info,state transit
Received error code * - shutdown,error,receiv error code shutdown
"Error caught during partition assignment, will abort the current process and re-throw at the end of rebalance: *",error,error caught partit assign abort current process end rebal
partition assignment took * ms. 	current active tasks: * 	current standby tasks: * 	previous active tasks: * ,info,partit assign took current activ task current standbi task previou activ task
"Error caught during partition revocation, will abort the current process and re-throw at the end of rebalance: *",error,error caught partit revoc abort current process end rebal
partition revocation took * ms. 	suspended active tasks: * 	suspended standby tasks: *,info,partit revoc took suspend activ task suspend standbi task
Creating producer client for task *,info,creat produc client task
Failed to close producer due to the following error:,error,fail close produc due follow error
Creating restore consumer client,info,creat restor consum client
Creating shared producer client,info,creat share produc client
Creating consumer client,info,creat consum client
Starting,info,start
StreamThread already shutdown. Not running,info,streamthread alreadi shutdown run
"Encountered the following unexpected Kafka exception during processing, this usually indicate Streams internal errors:",error,encount follow unexpect kafka except process usual indic stream intern error
Encountered the following error during processing:,error,encount follow error process
Version probing detected. Triggering new rebalance.,info,version probe detect trigger new rebal
Unexpected state * during normal iteration,error,unexpect state normal iter
$$$Empty Message$$$,info,empti messag
Unable to locate active task for received-record partition *. Current tasks: *,error,unabl locat activ task partit current task
"Stream task * is already closed, probably because it got unexpectedly migrated to another thread already. Notifying the thread to trigger a new rebalance immediately.",info,stream task alreadi close probabl got unexpectedli migrat anoth thread alreadi notifi thread trigger new rebal immedi
