static_text,log_level,preprocessed_text
Negative cache size passed in. Reverting to cache size of 0 bytes.,warn,neg cach size pass revert cach size byte
"Already in the pending shutdown state, wait to complete shutdown",info,alreadi pend shutdown state wait complet shutdown
Streams client stopped completely,info,stream client stop complet
Streams client cannot stop completely within the timeout,info,stream client stop complet within timeout
consumer,warn,consum
consumer,warn,consum
producer,warn,produc
"Exception caught during Deserialization, taskId: *, topic: *, partition: *, offset: *",warn,except caught deseri taskid topic partit offset
Skipping record due to null key or value. key=[*] value=[*] topic=[*] partition=[*] offset=[*],warn,skip record due null key valu
Skipping record due to null key. topic=[*] partition=[*] offset=[*],warn,skip record due null key
"Detected out-of-order KTable update for * at offset *, partition *.",warn,detect ktabl updat offset partit
Skipping record due to null key. change=[*] topic=[*] partition=[*] offset=[*],warn,skip record due null key
Using grace period of [*] as the suppress duration for node [*].,info,use grace period suppress durat node
Skipping record due to null key or value. key=[*] value=[*] topic=[*] partition=[*] offset=[*],warn,skip record due null key valu
Skipping record due to null key or value. key=[*] value=[*] topic=[*] partition=[*] offset=[*],warn,skip record due null key valu
Skipping record due to null key. value=[*] topic=[*] partition=[*] offset=[*],warn,skip record due null key
Skipping record due to null key. change=[*] topic=[*] partition=[*] offset=[*],warn,skip record due null key
Skipping record due to null key. value=[*] topic=[*] partition=[*] offset=[*],warn,skip record due null key
Skipping record due to null key or value. key=[*] value=[*] topic=[*] partition=[*] offset=[*],warn,skip record due null key valu
Skipping record due to null key. change=[*] topic=[*] partition=[*] offset=[*],warn,skip record due null key
Skipping record due to null key. change=[*] topic=[*] partition=[*] offset=[*],warn,skip record due null key
Input record * will be dropped because it has an invalid (negative) timestamp.,warn,input record drop invalid neg timestamp
Restoring StreamTasks failed. Deleting StreamTasks stores to recreate from scratch.,warn,restor streamtask fail delet streamtask store recreat scratch
Reinitializing StreamTask * for changelog *,info,reiniti streamtask changelog
End offset cannot be found form the returned metadata; removing this partition from the current run loop,info,end offset found form return metadata remov partit current run loop
No checkpoint found for task * state store * changelog * with EOS turned on. Reinitializing the task and restore its state from the beginning.,info,checkpoint found task state store changelog eo turn reiniti task restor state begin
Restoring task *'s state store * from beginning of the changelog * ,info,restor task state store begin changelog
State transition from * to *,info,state transit
Error happened during initialization of the global state store; this thread has shutdown,warn,error happen initi global state store thread shutdown
Shutting down,info,shut
Shutdown complete,info,shutdown complet
Skipping record due to negative extracted timestamp. topic=[*] partition=[*] offset=[*] extractedTimestamp=[*] extractor=[*],warn,skip record due neg extract timestamp
Task * owned partitions * are not contained in the assignment *,warn,task own partit contain assign
Skipping to close non-initialized store *,info,skip close store
Failed to write offset checkpoint file to [*],warn,fail write offset checkpoint file
Restoring state for global store *,info,restor state global store
Restoring GlobalStore * failed due to: *. Deleting global store to recreate from scratch.,warn,restor globalstor fail due delet global store recreat scratch
Skipping to close non-initialized store *,info,skip close store
Failed to write offset checkpoint file to * for global stores: *,warn,fail write offset checkpoint file global store
Failed to commit * since it got migrated to another thread already. Closing it as zombie before triggering a new rebalance.,info,fail commit sinc got migrat anoth thread alreadi close zombi trigger new rebal
Failed to process stream task * since it got migrated to another thread already. Closing it as zombie before triggering a new rebalance.,info,fail process stream task sinc got migrat anoth thread alreadi close zombi trigger new rebal
Failed to punctuate stream task * since it got migrated to another thread already. Closing it as zombie before triggering a new rebalance.,info,fail punctuat stream task sinc got migrat anoth thread alreadi close zombi trigger new rebal
Downgrading metadata version from * to 1 for upgrade from 0.10.0.x.4,info,downgrad metadata version upgrad
Downgrading metadata version from * to 2 for upgrade from *.x.4,info,downgrad metadata version upgrad
Received a future (version probing) subscription (version: *). Sending empty assignment back (with supported version *).4,info,receiv futur version probe subscript version send empti assign back support version
Downgrading metadata to version *. Latest supported version is *.4,info,downgrad metadata version latest support version
