static_text,log_level,preprocessed_text
ignoring existing unknown * setting: [*] with value [*]; archiving,warn,ignor exist unknown set valu archiv
$$$Empty Message$$$,warn,empti messag
"Not updating settings for the index [*] because upgraded of some primary shards failed - expected[*], received[*]",warn,updat set index upgrad primari shard fail expect receiv
[*] *,warn,
"Invalid upsert operation [*] for script [*], doing nothing...",warn,invalid upsert oper script noth
"Used upsert operation [*] for script [*], doing nothing...",warn,use upsert oper script noth
JNA not found. native methods and handlers will be disabled.,warn,jna found nativ method handler disabl
unable to link Windows/Kernel32 library. native methods and handlers will be disabled.,warn,unabl link librari nativ method handler disabl
Unable to retrieve resource limits: *,warn,unabl retriev resourc limit
"Unable to lock JVM Memory: error=*, reason=*",warn,unabl lock jvm memori
This can result in part of the JVM being swapped out.,warn,result part jvm swap
"Increase RLIMIT_MEMLOCK, soft limit: *, hard limit: *",warn,increas soft limit hard limit
"These can be adjusted by modifying /etc/security/limits.conf, for example:  	# allow user '*' mlockall 	* soft memlock unlimited 	* hard memlock unlimited",warn,adjust modifi exampl allow user mlockal soft memlock unlimit hard memlock unlimit
"If you are logged in interactively, you will have to re-login for the new limits to take effect.",warn,log interact new limit take effect
Increase RLIMIT_MEMLOCK (ulimit).,warn,increas ulimit
unable to retrieve max number of threads [ | ],warn,unabl retriev max number thread
unable to retrieve max size virtual memory [ | ],warn,unabl retriev max size virtual memori
unable to retrieve max file size [ | ],warn,unabl retriev max file size
Unable to lock JVM memory. Failed to set working set size. Error code *,warn,unabl lock jvm memori fail set work set size error code
failed to get short path name: *,warn,fail get short path name
failed to get short path name: *,warn,fail get short path name
unknown error * when adding console ctrl handler,warn,unknown error ad consol ctrl handler
unable to install syscall filter: ,warn,unabl instal syscal filter
Thread got interrupted while waiting for the node to shutdown.,warn,thread got interrupt wait node shutdown
Thread got interrupted while waiting for the node to shutdown.,warn,thread got interrupt wait node shutdown
Guice Exception: *,error,guic except
node validation exception *,error,node valid except
Exception,error,except
$$$Empty Message$$$,warn,empti messag
cannot mlockall because JNA is not available,warn,mlockal jna avail
cannot check if running as root because JNA is not available,warn,check run root jna avail
cannot virtual lock because JNA is not available,warn,virtual lock jna avail
cannot obtain short path for [*] because JNA is not available,warn,obtain short path jna avail
cannot register console handler because JNA is not available,warn,regist consol handler jna avail
cannot install system call filter because JNA is not available,warn,instal system call filter jna avail
cannot getrlimit RLIMIT_NPROC because JNA is not available,warn,getrlimit jna avail
cannot getrlimit RLIMIT_AS because JNA is not available,warn,getrlimit jna avail
cannot getrlimit RLIMIT_FSIZE because JNA is not available,warn,getrlimit jna avail
failed to sample,warn,fail sampl
"node * not part of the cluster *, ignoring...",warn,node part cluster ignor
"node * not part of the cluster *, ignoring...",warn,node part cluster ignor
NodeStatsAction timed out for ClusterInfoUpdateJob,error,nodestatsact time clusterinfoupdatejob
Failed to execute NodeStatsAction for ClusterInfoUpdateJob,warn,fail execut nodestatsact clusterinfoupdatejob
IndicesStatsAction timed out for ClusterInfoUpdateJob,error,indicesstatsact time clusterinfoupdatejob
Failed to execute IndicesStatsAction for ClusterInfoUpdateJob,warn,fail execut indicesstatsact clusterinfoupdatejob
Failed to update node information for ClusterInfoUpdateJob within * timeout,warn,fail updat node inform clusterinfoupdatejob within timeout
Failed to update shard information for ClusterInfoUpdateJob within * timeout,warn,fail updat shard inform clusterinfoupdatejob within timeout
Unable to retrieve node FS stats for *,warn,unabl retriev node fs stat
unexpected error while checking for node reconnects,warn,unexpect error check node reconnect
"failed to disconnect from *, possible connection leak",warn,fail disconnect possibl connect leak
"can't send mapping refresh for [*], no master known.",warn,ca send map refresh master known
no master known for action [*] for shard entry [*],warn,master known action shard entri
unexpected failure while sending request [*] |  to [*] for shard entry [*],warn,unexpect failur send request shard entri
node closed while execution action [*] for shard entry [*],warn,node close execut action shard entri
* no longer master while failing shard [*],error,longer master fail shard
failed to send back failure on join request,warn,fail send back failur join request
bootstrapping cancelled,warn,bootstrap cancel
"exception when bootstrapping with *, rescheduling",warn,except bootstrap reschedul
"received cluster state from * with a different cluster uuid * than local cluster uuid *, rejecting",warn,receiv cluster state differ cluster uuid local cluster uuid reject
failed to bump term to *,warn,fail bump term
unexpected error while deserializing an incoming cluster state,warn,unexpect error deseri incom cluster state
unexpected error while deserializing an incoming cluster state,warn,unexpect error deseri incom cluster state
"node [*] is lagging at cluster state version [*], although publication of cluster state version [*] completed [*] ago",warn,node lag cluster state version although public cluster state version complet ago
$$$Empty Message$$$,warn,empti messag
Skipping unknown custom object with type *,warn,skip unknown custom object type
"Error updating template [*], request was not acknowledged",warn,error updat templat request acknowledg
Error updating template [*],warn,error updat templat
"Error deleting template [*], request was not acknowledged",warn,error delet templat request acknowledg
Error deleting template [*],warn,error delet templat
Templates are still reported as out of date after the upgrade. The template upgrade will be retried.,warn,templat still report date upgrad templat upgrad retri
[*] re-syncing mappings with cluster state because of types [*],warn,map cluster state type
failed to submit schedule/execute reroute post unassigned shard,warn,fail submit rerout post unassign shard
failed to schedule/execute reroute post unassigned shard,warn,fail rerout post unassign shard
"flood stage disk watermark [*] exceeded on *, all indices on this node will be marked read-only",warn,flood stage disk watermark exceed indic node mark
"high disk watermark [*] exceeded on *, shards will be relocated away from this node",warn,high disk watermark exceed shard reloc away node
"flood stage disk watermark [*] exceeded on *, all indices on this node will be marked read-only",warn,flood stage disk watermark exceed indic node mark
"high disk watermark [*] exceeded on *, shards will be relocated away from this node",warn,high disk watermark exceed shard reloc away node
* marking unavailable shards as stale: *,warn,mark unavail shard stale
failing shard [*],warn,fail shard
"after allocating, node [*] would have less than the required threshold of * free (currently * free, estimated shard size is *), preventing allocation",warn,alloc node would less requir threshold free current free estim shard size prevent alloc
"after allocating, node [*] would have more than the allowed * free disk threshold (* free), preventing allocation",warn,alloc node would allow free disk threshold free prevent alloc
